System,Sentence,Code,Classification,Short_Long,Location,Interrupted,Clue_location,Difficulty,Source
Hybrid SMT,S01a,-1,Ambiguity,S,Before,NA,NA,Lexical,"As I took my fries out of the bag, a seagull tried to steal some."
Hybrid SMT,S01b,-1,Ambiguity,S,Before,NA,NA,Lexical,"As I put my curtains up, I realized the rod was crooked."
Hybrid SMT,S01c,-1,Ambiguity,S,Mid,NA,NA,Lexical,My knees cracked as I stood up.
Hybrid SMT,S01d,-1,Ambiguity,S,Mid,NA,NA,Lexical,I discovered a hidden image as I was restoring an old painting.
Hybrid SMT,S01e,-1,Ambiguity,L,Before,NA,NA,Lexical,"As I took my fries and ketchup out of the paper bag today at the beach, a vicious seagull tried to steal some of the fries."
Hybrid SMT,S01f,-1,Ambiguity,L,Before,NA,NA,Lexical,"As I put my blue and white curtains up, I realized the matte black metal rod was crooked and didn't match with the rest of the room."
Hybrid SMT,S01g,-1,Ambiguity,L,Mid,NA,NA,Lexical,My grandmother laughed at me and told me I was getting old when my knees cracked as I stood up to go grab my phone.
Hybrid SMT,S01h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I discovered a hidden image that seemed to be one of a sheep as I was restoring an old painting from the sixteenth century, depicting a biblical scene."
Hybrid SMT,S02a,1,Ambiguity,S,Before,NA,NA,Lexical,"As I kept being woken up by raccoons, I put traps in my backyard."
Hybrid SMT,S02b,1,Ambiguity,S,Before,NA,NA,Lexical,"As I spoke without raising my hand, the teacher ignored my answer."
Hybrid SMT,S02c,1,Ambiguity,S,Mid,NA,NA,Lexical,"The doctor reduced the dosage, as the patient seemed to experience discomfort."
Hybrid SMT,S02d,1,Ambiguity,S,Mid,NA,NA,Lexical,"Hikers tend to avoid that trail, as the path is narrow."
Hybrid SMT,S02e,1,Ambiguity,L,Before,NA,NA,Lexical,"As I kept being woken up by raccoons opening my garbage bins every night, I put traps with peanut butter and jelly in my backyard."
Hybrid SMT,S02f,1,Ambiguity,L,Before,NA,NA,Lexical,"As I spoke in class without raising my hand and waiting to be called on, the geography teacher ignored my answer and asked someone else to respond."
Hybrid SMT,S02g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"The doctor reduced the dosage of the medication he had prescribed two weeks ago, as the young patient had experienced discomfort ever since he started taking those pills."
Hybrid SMT,S02h,1,Ambiguity,L,Mid,NA,NA,Lexical,"Hikers tend to avoid that trail on the west side of the park near the gates, as the path is narrow and is usually hard to follow."
Hybrid SMT,S03a,-1,Ambiguity,S,Before,NA,NA,Lexical,"As this project develops, we'll have to hire more employees."
Hybrid SMT,S03b,-1,Ambiguity,S,Before,NA,NA,Lexical,"As we receive the comments, we'll compile them in one document."
Hybrid SMT,S03c,-1,Ambiguity,S,Mid,NA,NA,Lexical,We will move to a bigger house as our family grows.
Hybrid SMT,S03d,-1,Ambiguity,S,Mid,NA,NA,Lexical,"To make risotto, you must add small quantities of broth as the rice cooks."
Hybrid SMT,S03e,-1,Ambiguity,L,Before,NA,NA,Lexical,"As this new project develops, it will require expertise from experienced workers, and we'll have to hire more full-time employees with the required language proficiency."
Hybrid SMT,S03f,-1,Ambiguity,L,Before,NA,NA,Lexical,"As we receive the comments from the people who participated in our workshop last week, we'll compile them in one document and share the feedback."
Hybrid SMT,S03g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"We will move to a bigger house in a nicer neighbourhood, closer to our work, as our family grows and we need more bedrooms for the kids."
Hybrid SMT,S03h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"According to this recipe I found online, to make risotto, you must add the chicken or vegetable broth in small quantities as the rice cooks over medium heat."
Hybrid SMT,S04a,-1,Ambiguity,S,Before,NA,NA,Lexical,"While I was cleaning my room, I noticed a letter I had never opened."
Hybrid SMT,S04b,-1,Ambiguity,S,Before,NA,NA,Lexical,"While I was on the phone, the deliveryman rang the doorbell."
Hybrid SMT,S04c,-1,Ambiguity,S,Mid,NA,NA,Lexical,He bought new glasses while he was visiting.
Hybrid SMT,S04d,-1,Ambiguity,S,Mid,NA,NA,Lexical,He fell asleep while reading her eighteen-page-long letter.
Hybrid SMT,S04e,-1,Ambiguity,L,Before,NA,NA,Lexical,"While I was cleaning my old room at my parents' place, I noticed a letter I had never opened from a childhood friend with whom I had not talked in years."
Hybrid SMT,S04f,-1,Ambiguity,L,Before,NA,NA,Lexical,"While I was on the phone discussing a COVID-19 response project with three of my colleagues, the deliveryman rang the doorbell, carrying three stacked boxes."
Hybrid SMT,S04g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"He bought a new pair of reading glasses that, in my opinion, are too big for his face, while he was visiting his mom in New Hampshire."
Hybrid SMT,S04h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"He fell asleep at the white kitchen table that he had not cleaned up after last night's dinner, and that still held a dirty plate and glass, while reading her eighteen-page-long letter."
